work_type,id
6,3337
6,3339
6,2188
6,1679
6,1682
6,1687
6,1690
2,53915
6,1699
6,1701
6,2223
6,2224
6,1725
6,53903
6,53905
6,53908
6,53909
6,1903
6,1957
6,2017
6,2080
6,2127
6,2139
6,2144
6,2176
6,52910
6,2193
6,2244
6,2264
6,2265
6,2271
6,2282
6,2291
6,2304
6,2308
4,2310
6,2336
6,2358
6,2406
6,2433
6,2454
6,2467
6,2520
6,2521
6,2545
6,2575
6,2590
6,2594
6,2634
6,2645
6,2671
6,2724
6,2821
6,2845
6,2855
4,3003
6,3021
6,3045
6,3075
6,3083
6,3085
6,3099
6,3122
6,3163
6,3172
6,3184
6,3187
6,3195
6,3197
6,3224
6,3243
6,3282
6,3296
6,3371
6,3377
1,3455
6,3471
6,3473
6,3501
6,3731
6,4352
6,4825
6,5098
3,5137
4,5150
6,7052
6,7091
6,7110
6,7333
6,7792
6,8990
6,9600
6,9811
6,9919
6,10044
6,10544
6,10630
6,11076
6,11263
6,11368
6,11499
6,13318
6,14049
6,14521
6,14661
6,14978
6,15021
6,15033
6,15434
6,16641
6,21483
6,21684
6,22272
7,22567
6,23124
6,23333
6,24928
6,25424
6,25530
6,26280
6,26910
6,27525
4,28089
6,29013
6,29714
1,30164
6,30393
6,30444
6,30569
6,30754
7,30965
6,30972
6,30988
4,53751
6,52155
4,31934
6,32218
6,33353
6,34475
2,34821
6,35103
2,35798
7,36874
2,37853
7,38076
2,38199
6,38278
6,39142
7,39577
5,41437
6,43839
6,45640
5,45961
6,46189
6,53690
6,53693
6,46646
2,46650
6,46696
2,46724
6,46739
6,53318
6,53320
6,46773
4,46852
7,46890
6,46970
6,47004
6,47619
6,47760
3,47830
2,48260
6,48370
6,49165
6,49301
6,49470
6,49559
6,49703
6,49725
4,49840
2,50162
7,50264
6,53216
7,50477
7,51466
6,52091
6,52139
4,52176
6,52290
1,52342
6,52880
7,53011
6,52827
6,53193
6,52865
7,52973
2,53019
6,53115
7,53194
6,53270
7,53349
6,53372
6,53382
6,53796
6,53420
1,53429
1,53488
4,53478
6,53516
2,53557
6,53646
6,53657
6,53697
6,53698
6,53699
4,53701
6,53702
2,53739
1,53782
6,53851
6,53852
6,53870
6,53871
6,53890
6,53891
6,53892
6,53895
6,53897
6,53963
6,53976
6,54004
1,54022
1,54024
6,54026
6,54027
6,54057
2,54083
2,54085
2,54088
2,54109
2,54108
6,54113
6,54145
6,54166
6,54174
1,54311
1,54313
6,54360
4,54362
6,54398
6,54414
6,54435
2,54453
4,54461
7,54511
4,54585
4,54593
1,54677
6,54736
6,54850
1,54952
2,55096
4,55129
